year       U.S.	       AL	   CA	      CO	  CT	  DE	  DC	    FL	      GA	  ID	   IL	      IN	  IA	   KS	  KY	   LA	  ME	   MD	   MA	   MI	   MN	   MS	   MO	  MT	  NE	  NV	  NH	   NJ	   NM	   NY	       NC	  ND	   OH	  OK	  OR	  PA	  RI	   SC	  SD	   TN	  TX	  UT	  VT	  VA	  WA	  WV	  WI	  WY
1974	213341550	3626499	21173865	2541406	3074047	581418	717947	 8298762	4999419	807990	11262145	5361890	2867530	2269499	3416315	3820109	1059040	4118815	5773548	9117507	3903925	2378268	4795930	736419	1539191	596822	815914	7332411	1131309	18049775	5470911	634559	10765759	2734768	2285013	11870884	950615	2844749	679585	4213509	12268629	1200471	473002	4971069	3549946	1815447	4545782	365501
1975	215465260	3678814	21537849	2586192	3082500	586589	706871	 8518422	5064075	831982	11291743	5365766	2880847	2280578	3467769	3886104	1071995	4139096	5757756	9117668	3932515	2399449	4808308	748208	1543117	619972	828555	7337765	1159944	18003485	5547188	638886	10770425	2774683	2329661	11906095	942788	2902028	681042	4275566	12568843	1236030	479713	5047395	3621339	1842250	4578986	381695
1976	217562740	3735139	21935909	2632306	3083335	590166	692295	 8667379	5132812	856983	11342853	5389088	2903082	2301001	3529257	3950605	1088412	4150539	5743672	9129205	3964680	2429756	4839029	757317	1550911	646975	845248	7339745	1189295	17940541	5607964	645797	10752662	2826815	2378262	11897378	946089	2943657	686390	4346928	12904089	1274928	484928	5121863	3693610	1879503	4595904	396952
1977	219759870	3780403	22352396	2696140	3085722	591829	677228	 8856183	5219697	883469	11386316	5425638	2913573	2320647	3573693	4014459	1103578	4169595	5738199	9171110	3989364	2459201	4863173	769953	1556842	678333	869763	7337169	1215720	17812602	5685607	649769	10771394	2870014	2446673	11893591	950230	2991681	688480	4422921	13193050	1319512	491931	5193112	3776050	1908088	4626514	413354
1978	222095080	3831836	22835958	2766748	3091627	594776	665052	 9102032	5295751	910690	11412561	5470214	2918069	2335657	3609976	4068579	1113566	4183603	5736469	9217761	4015341	2487816	4889399	782317	1563884	719436	891520	7350804	1238034	17680589	5759492	651301	10795581	2917336	2518298	11879396	951816	3044364	688580	4486314	13500429	1367510	498109	5270240	3889073	1923395	4646108	432880
1979	224567240	3866248	23256880	2849234	3095917	594984	650016	 9426159	5401384	932627	11396837	5501174	2915739	2350906	3641804	4137665	1122563	4191160	5738404	9266268	4050316	2507069	4912430	787305	1567344	765367	909074	7366512	1284722	17583838	5823491	652896	10798298	2975310	2588012	11887975	950382	3090267	688335	4560473	13888371	1420238	505372	5307945	4017632	1942146	4682811	454378
1980	226545810	3893888	23667902	2889964	3107576	594338	638333	 9746324	5463105	943935	11426518	5490224	2913808	2363679	3660777	4205900	1124660	4216975	5737037	9262078	4075970	2520638	4916686	786690	1569825	800493	920610	7364823	1302894	17558072	5881766	652717	10797630	3025290	2633105	11863895	947154	3121820	690768	4591120	14229191	1461037	511456	5346818	4132156	1949644	4705767	469557
1981	229465710	3918531	24285933	2977898	3128836	595975	636893	10192774	5568345	962204	11443458	5480435	2907983	2384849	3670394	4283303	1133033	4261905	5768685	9209287	4111728	2539036	4932064	795328	1578515	847655	936621	7407472	1332748	17567734	5956653	659505	10788330	3096164	2667982	11858567	953013	3179255	689584	4627658	14746318	1515471	515594	5444097	4235731	1954124	4726343	491712
1982	231664460	3925266	24820009	3061564	3139013	599148	634174	10471407	5649792	973721	11423412	5467922	2888189	2401202	3683445	4352608	1136684	4282923	5771222	9115198	4131450	2556777	4929451	803986	1581780	881537	947719	7430968	1363823	17589738	6019101	668972	10757087	3206123	2664922	11845146	954170	3207614	690597	4646041	15331415	1558314	519109	5492783	4276552	1949604	4728870	506400
1983	233791990	3934102	25360026	3133630	3162354	605458	632433	10749851	5728250	981869	11408818	5450395	2870543	2415531	3694484	4395316	1144772	4313327	5799407	9047754	4141456	2567717	4943733	814031	1584293	901977	958134	7467785	1394361	17686905	6077056	676688	10737632	3290402	2653066	11837723	956382	3234066	693008	4659749	15751676	1594943	523302	5564657	4300266	1945061	4721438	510345
1984	235824900	3951820	25844393	3169992	3180014	611565	633382	11039925	5834954	990839	11412132	5458322	2858618	2424086	3695453	4400477	1155635	4365243	5840773	9049452	4157706	2578051	4975278	820905	1588639	924922	976864	7515473	1416717	17745684	6164006	680497	10737746	3285533	2666588	11815172	961894	3271868	697249	4686737	16007086	1622342	526660	5643870	4343656	1927697	4735563	504896
1985	237923800	3972523	26441109	3208723	3201131	618280	634549	11351118	5962661	994051	11399806	5459211	2829684	2427405	3694826	4408118	1162936	4413071	5880733	9076293	4184302	2588102	5000268	822320	1584664	951030	996753	7565528	1438361	17791672	6253954	676980	10734926	3271332	2672652	11770862	968955	3303209	698402	4715296	16272734	1642910	530035	5715153	4400098	1906831	4747767	499695
1986	240132890	3991569	27102237	3237450	3223740	627559	638269	11667505	6084666	990224	11387257	5454108	2791970	2432619	3687809	4406919	1170126	4486957	5902678	9127775	4205212	2593597	5023068	813739	1574333	980613	1025053	7622159	1462729	17833419	6321578	669512	10730268	3252735	2683528	11782752	977341	3342758	696034	4738708	16561113	1662834	534066	5811700	4452720	1882350	4755618	495633
1987	242288920	4015264	27777158	3260480	3247291	636947	636930	11997283	6208467	984997	11391178	5473012	2767011	2445367	3683329	4344148	1184574	4565557	5935204	9187481	4235136	2588545	5056696	805063	1566547	1023376	1054289	7670742	1478520	17868848	6403700	661136	10760090	3210122	2700991	11810866	989604	3380506	696036	4782927	16621791	1678119	540267	5932268	4531901	1857585	4777919	476965
1988	244498980	4023844	28464249	3262281	3271953	647622	630432	12306395	6316142	985664	11390183	5491735	2768388	2461996	3679999	4288863	1203840	4657904	5979982	9217998	4296166	2580352	5081736	800202	1571477	1075022	1082577	7712333	1490337	17941309	6480594	655331	10798552	3167057	2741297	11845752	996408	3412096	698165	4822437	16667022	1689372	549763	6036909	4639893	1830215	4822388	465101
1989	246819230	4030222	29218164	3275818	3283403	658273	624168	12637715	6411099	994416	11409782	5523693	2770592	2472849	3677306	4252894	1219961	4727301	6015478	9253295	4338057	2574269	5095830	799636	1574864	1137382	1104522	7726089	1503901	17983086	6565459	646351	10829217	3150307	2790575	11865996	1000666	3456775	696701	4854444	16806735	1705864	557707	6120246	4746316	1806568	4856574	458374
1990	248709870	4040587	29760021	3294394	3287116	666168	606900	12937926	6478216	1006749	11430602	5544159	2776755	2477574	3685296	4219973	1227928	4781468	6016425	9295297	4375099	2573216	5117073	799065	1578385	1201833	1109252	7730188	1515069	17990455	6628637	638800	10847115	3145585	2842321	11881643	1003464	3486703	696004	4877185	16986510	1722850	562758	6187358	4866692	1793477	4891769	453588
1991	252153090	4091025	30414114	3367567	3288640	680495	593239	13289497	6621279	1038915	11535973	5602062	2791227	2495209	3714686	4240950	1235439	4856176	5998652	9395022	4427429	2591230	5157770	807837	1590805	1285046	1107055	7784269	1547115	18029532	6748135	634199	10933683	3166471	2918745	11943160	1003990	3559470	701445	4946886	17339904	1771941	567141	6283853	5013443	1798212	4952675	457739
1992	255029700	4139269	30875920	3459995	3274997	690158	584183	13504775	6759474	1066490	11635197	5648649	2806923	2526042	3756358	4270849	1235748	4902545	5993474	9470323	4471503	2610193	5193686	822436	1602406	1330694	1112766	7827770	1580750	18082032	6831850	635427	11007609	3204174	2973934	11980819	1000571	3600576	708698	5013999	17650479	1821498	570115	6383315	5139011	1805462	5004636	463491
1993	257782610	4193114	31147208	3560884	3272325	699475	576358	13713593	6894092	1101204	11725984	5701965	2820525	2547605	3792288	4284749	1238256	4942504	6010884	9529240	4521709	2635574	5237757	839876	1612149	1380197	1122191	7874891	1614937	18140894	6947412	637229	11070385	3228829	3034490	12022128	997852	3634507	716258	5085666	17996764	1875993	574004	6464795	5247704	1816179	5055318	469033
1994	260327020	4232965	31317179	3653910	3268346	708416	564982	13961798	7045900	1135459	11804986	5745626	2829422	2569118	3823215	4306500	1237687	4985411	6031352	9584481	4566028	2663450	5281206	854923	1621551	1456388	1133054	7918796	1653329	18156652	7060959	639762	11111451	3246119	3087142	12042545	993412	3666456	723038	5163016	18338319	1930436	578900	6536771	5334896	1818490	5095504	474982
1995	262803280	4262731	31493525	3738061	3265293	718265	551273	14185403	7188538	1165000	11884935	5791819	2840860	2586942	3855248	4327978	1237438	5023650	6062335	9659871	4605445	2690788	5324610	868522	1635142	1525777	1145604	7965523	1682417	18150928	7185403	641548	11155493	3265547	3141421	12044780	989203	3699943	728251	5241168	18679706	1976774	582827	6601392	5431024	1820560	5137004	478447
1996	265228570	4290403	31780829	3812716	3267030	727090	538273	14426911	7332225	1187706	11953003	5834908	2848473	2598266	3881051	4338763	1241436	5057142	6085393	9739184	4647723	2709925	5367888	876656	1647657	1596476	1160768	8009624	1706151	18143805	7307658	642858	11187032	3289634	3195087	12038008	987858	3738974	730699	5313576	19006240	2022253	586352	6665491	5509963	1818983	5173828	480085
1997	267783610	4320281	32217708	3891293	3268514	735024	528752	14683350	7486094	1210638	12011509	5872370	2854396	2616339	3907816	4351390	1245215	5092914	6115476	9785450	4687726	2731826	5407113	878706	1656042	1675581	1173239	8054178	1722939	18143184	7428672	640945	11212498	3314259	3243254	12015888	986966	3790066	730855	5378433	19355427	2065397	588665	6732878	5604105	1815588	5200235	480031
1998	270248000	4351037	32682794	3968967	3272563	744066	521426	14908230	7636522	1230923	12069774	5907617	2861025	2638667	3934310	4362758	1247554	5130072	6144407	9820231	4726411	2751335	5437562	879533	1660772	1743772	1185823	8095542	1733535	18159175	7545828	637808	11237752	3339478	3282055	12002329	987704	3839578	730789	5432679	19712389	2100562	590579	6789225	5687832	1811688	5222124	480045
1999	272690810	4369862	33145121	4056133	3282031	753538	519000	15111244	7788240	1251700	12128370	5942901	2869413	2654052	3960825	4372035	1253040	5171634	6175169	9863775	4775508	2768619	5468338	882779	1666028	1809253	1201134	8143412	1739844	18196601	7650789	633666	11256654	3358044	3316154	11994016	990819	3885736	733133	5483535	20044141	2129836	593740	6872912	5756361	1806928	5250446	479602
